localidade;valor;unidade
Abaíra - BA;;Mil Reais
Abaré - BA;;Mil Reais
Acajutiba - BA;;Mil Reais
Adustina - BA;;Mil Reais
Água Fria - BA;;Mil Reais
Érico Cardoso - BA;;Mil Reais
Aiquara - BA;7751;Mil Reais
Alagoinhas - BA;;Mil Reais
Alcobaça - BA;17;Mil Reais
Almadina - BA;8808;Mil Reais
Amargosa - BA;8027;Mil Reais
Amélia Rodrigues - BA;;Mil Reais
América Dourada - BA;;Mil Reais
Anagé - BA;;Mil Reais
Andaraí - BA;;Mil Reais
Andorinha - BA;;Mil Reais
Angical - BA;;Mil Reais
Anguera - BA;;Mil Reais
Antas - BA;;Mil Reais
Antônio Cardoso - BA;;Mil Reais
Antônio Gonçalves - BA;;Mil Reais
Aporá - BA;;Mil Reais
Apuarema - BA;10006;Mil Reais
Aracatu - BA;;Mil Reais
Araças - BA;;Mil Reais
Araci - BA;;Mil Reais
Aramari - BA;;Mil Reais
Arataca - BA;29456;Mil Reais
Aratuípe - BA;660;Mil Reais
Aurelino Leal - BA;24528;Mil Reais
Baianópolis - BA;;Mil Reais
Baixa Grande - BA;;Mil Reais
Banzaê - BA;;Mil Reais
Barra - BA;;Mil Reais
Barra da Estiva - BA;;Mil Reais
Barra do Choça - BA;;Mil Reais
Barra do Mendes - BA;;Mil Reais
Barra do Rocha - BA;32363;Mil Reais
Barreiras - BA;143;Mil Reais
Barro Alto - BA;;Mil Reais
Barrocas - BA;;Mil Reais
Barro Preto - BA;28849;Mil Reais
Belmonte - BA;50477;Mil Reais
Belo Campo - BA;35;Mil Reais
Biritinga - BA;;Mil Reais
Boa Nova - BA;3468;Mil Reais
Boa Vista do Tupim - BA;;Mil Reais
Bom Jesus da Lapa - BA;188;Mil Reais
Bom Jesus da Serra - BA;;Mil Reais
Boninal - BA;;Mil Reais
Bonito - BA;;Mil Reais
Boquira - BA;;Mil Reais
Botuporã - BA;;Mil Reais
Brejões - BA;53;Mil Reais
Brejolândia - BA;;Mil Reais
Brotas de Macaúbas - BA;;Mil Reais
Brumado - BA;;Mil Reais
Buerarema - BA;24008;Mil Reais
Buritirama - BA;;Mil Reais
Caatiba - BA;1242;Mil Reais
Cabaceiras do Paraguaçu - BA;;Mil Reais
Cachoeira - BA;78;Mil Reais
Caculé - BA;;Mil Reais
Caém - BA;;Mil Reais
Caetanos - BA;;Mil Reais
Caetité - BA;;Mil Reais
Cafarnaum - BA;;Mil Reais
Cairu - BA;;Mil Reais
Caldeirão Grande - BA;;Mil Reais
Camacan - BA;21436;Mil Reais
Camaçari - BA;;Mil Reais
Camamu - BA;66268;Mil Reais
Campo Alegre de Lourdes - BA;;Mil Reais
Campo Formoso - BA;;Mil Reais
Canápolis - BA;;Mil Reais
Canarana - BA;;Mil Reais
Canavieiras - BA;21076;Mil Reais
Candeal - BA;;Mil Reais
Candeias - BA;;Mil Reais
Candiba - BA;;Mil Reais
Cândido Sales - BA;;Mil Reais
Cansanção - BA;;Mil Reais
Canudos - BA;;Mil Reais
Capela do Alto Alegre - BA;;Mil Reais
Capim Grosso - BA;;Mil Reais
Caraíbas - BA;;Mil Reais
Caravelas - BA;68;Mil Reais
Cardeal da Silva - BA;;Mil Reais
Carinhanha - BA;;Mil Reais
Casa Nova - BA;;Mil Reais
Castro Alves - BA;105;Mil Reais
Catolândia - BA;;Mil Reais
Catu - BA;;Mil Reais
Caturama - BA;;Mil Reais
Central - BA;;Mil Reais
Chorrochó - BA;;Mil Reais
Cícero Dantas - BA;;Mil Reais
Cipó - BA;;Mil Reais
Coaraci - BA;19168;Mil Reais
Cocos - BA;;Mil Reais
Conceição da Feira - BA;;Mil Reais
Conceição do Almeida - BA;613;Mil Reais
Conceição do Coité - BA;;Mil Reais
Conceição do Jacuípe - BA;;Mil Reais
Conde - BA;;Mil Reais
Condeúba - BA;;Mil Reais
Contendas do Sincorá - BA;;Mil Reais
Coração de Maria - BA;;Mil Reais
Cordeiros - BA;;Mil Reais
Coribe - BA;;Mil Reais
Coronel João Sá - BA;;Mil Reais
Correntina - BA;;Mil Reais
Cotegipe - BA;;Mil Reais
Cravolândia - BA;533;Mil Reais
Crisópolis - BA;;Mil Reais
Cristópolis - BA;;Mil Reais
Cruz das Almas - BA;;Mil Reais
Curaçá - BA;;Mil Reais
Dário Meira - BA;17028;Mil Reais
Dias d`Ávila - BA;;Mil Reais
Dom Basílio - BA;;Mil Reais
Dom Macedo Costa - BA;162;Mil Reais
Elísio Medrado - BA;2222;Mil Reais
Encruzilhada - BA;;Mil Reais
Entre Rios - BA;;Mil Reais
Esplanada - BA;;Mil Reais
Euclides da Cunha - BA;;Mil Reais
Eunápolis - BA;3299;Mil Reais
Fátima - BA;;Mil Reais
Feira da Mata - BA;;Mil Reais
Feira de Santana - BA;;Mil Reais
Filadélfia - BA;;Mil Reais
Firmino Alves - BA;1993;Mil Reais
Floresta Azul - BA;5776;Mil Reais
Formosa do Rio Preto - BA;;Mil Reais
Gandu - BA;87957;Mil Reais
Gavião - BA;;Mil Reais
Gentio do Ouro - BA;;Mil Reais
Glória - BA;;Mil Reais
Gongogi - BA;6005;Mil Reais
Governador Mangabeira - BA;;Mil Reais
Guajeru - BA;;Mil Reais
Guanambi - BA;;Mil Reais
Guaratinga - BA;22851;Mil Reais
Heliópolis - BA;;Mil Reais
Iaçu - BA;;Mil Reais
Ibiassucê - BA;;Mil Reais
Ibicaraí - BA;8747;Mil Reais
Ibicoara - BA;;Mil Reais
Ibicuí - BA;4394;Mil Reais
Ibipeba - BA;;Mil Reais
Ibipitanga - BA;;Mil Reais
Ibiquera - BA;;Mil Reais
Ibirapitanga - BA;145369;Mil Reais
Ibirapuã - BA;;Mil Reais
Ibirataia - BA;48422;Mil Reais
Ibitiara - BA;;Mil Reais
Ibititá - BA;;Mil Reais
Ibotirama - BA;;Mil Reais
Ichu - BA;;Mil Reais
Igaporã - BA;;Mil Reais
Igrapiúna - BA;28757;Mil Reais
Iguaí - BA;28757;Mil Reais
Ilhéus - BA;163045;Mil Reais
Inhambupe - BA;;Mil Reais
Ipecaetá - BA;;Mil Reais
Ipiaú - BA;29845;Mil Reais
Ipirá - BA;;Mil Reais
Ipupiara - BA;;Mil Reais
Irajuba - BA;;Mil Reais
Iramaia - BA;;Mil Reais
Iraquara - BA;;Mil Reais
Irará - BA;;Mil Reais
Irecê - BA;;Mil Reais
Itabela - BA;9852;Mil Reais
Itaberaba - BA;;Mil Reais
Itabuna - BA;24935;Mil Reais
Itacaré - BA;73462;Mil Reais
Itaeté - BA;;Mil Reais
Itagi - BA;20435;Mil Reais
Itagibá - BA;23298;Mil Reais
Itagimirim - BA;108;Mil Reais
Itaguaçu da Bahia - BA;;Mil Reais
Itaju do Colônia - BA;3283;Mil Reais
Itajuípe - BA;53084;Mil Reais
Itamaraju - BA;35295;Mil Reais
Itamari - BA;35676;Mil Reais
Itambé - BA;1476;Mil Reais
Itanagra - BA;;Mil Reais
Itanhém - BA;1605;Mil Reais
Itaparica - BA;;Mil Reais
Itapé - BA;2321;Mil Reais
Itapebi - BA;4131;Mil Reais
Itapetinga - BA;148;Mil Reais
Itapicuru - BA;;Mil Reais
Itapitanga - BA;6080;Mil Reais
Itaquara - BA;;Mil Reais
Itarantim - BA;;Mil Reais
Itatim - BA;;Mil Reais
Itiruçu - BA;;Mil Reais
Itiúba - BA;;Mil Reais
Itororó - BA;4310;Mil Reais
Ituaçu - BA;;Mil Reais
Ituberá - BA;23909;Mil Reais
Iuiú - BA;;Mil Reais
Jaborandi - BA;;Mil Reais
Jacaraci - BA;;Mil Reais
Jacobina - BA;;Mil Reais
Jaguaquara - BA;5143;Mil Reais
Jaguarari - BA;;Mil Reais
Jaguaripe - BA;3206;Mil Reais
Jandaíra - BA;;Mil Reais
Jequié - BA;40164;Mil Reais
Jeremoabo - BA;;Mil Reais
Jiquiriçá - BA;35406;Mil Reais
Jitaúna - BA;54692;Mil Reais
João Dourado - BA;;Mil Reais
Juazeiro - BA;;Mil Reais
Jucuruçu - BA;2220;Mil Reais
Jussara - BA;;Mil Reais
Jussari - BA;7394;Mil Reais
Jussiape - BA;;Mil Reais
Lafaiete Coutinho - BA;;Mil Reais
Lagoa Real - BA;;Mil Reais
Laje - BA;23070;Mil Reais
Lajedão - BA;;Mil Reais
Lajedinho - BA;;Mil Reais
Lajedo do Tabocal - BA;;Mil Reais
Lamarão - BA;;Mil Reais
Lapão - BA;;Mil Reais
Lauro de Freitas - BA;;Mil Reais
Lençóis - BA;;Mil Reais
Licínio de Almeida - BA;;Mil Reais
Livramento de Nossa Senhora - BA;;Mil Reais
Luís Eduardo Magalhães - BA;;Mil Reais
Macajuba - BA;;Mil Reais
Macarani - BA;49;Mil Reais
